Location,Attraction,Category,Description,Rating (1-5),Comment
"Venice, Italy",Saint Mark's Basilica,Historical Site,"The Patriarchal Cathedral Basilica of Saint Mark, commonly known as St Mark's Basilica, is the cathedral church of the Patriarchate of Venice",4,I really enjoyed the square and the architecture of Basilica.
"Venice, Italy",Ponte di Rialto,Historical Site,The Rialto Bridge is the oldest of the four bridges spanning the Grand Canal in Venice,3,The bridge was nice but there was not much to do while there and it was super crowded.
"Pisa, Italy",Leaning Tower of Pisa,Historical Site,Toured the tower and climbed to the top.,4,It was very nice to see such a classic building.
"Rome, Italy",Tour of the Colloseum,Historical Site,Toured the Roman Colosseum and the surrounding remains,5,So much interesting history throughout the tour and amazing Roman ruins to see.
"Gibsons, Canada",Town Visit,Beach/Market,"Visited the town of Gibsons. Walked around uptown, went to restaurants, and went swimming.",5,A beautiful city in the mountains. I got to enjoy amazing fresh seafood and enjoy the really nice town. It was jus the right amount of busy with people around but not to the point were their were lines or crowds.
"Gibsons, Canada",Kayaking,Excursion,Went Kayaking out off the coast of Gibsons.,4,A really relaxing excursion to enjoy the water and the views of the mountains and nature.
Panama,Catamaran,Excursion,Went on a catamaran tour off the coast of Panama. ,4,"Enjoyed a great day out on the water with drinks, music, and swimming in the ocean. A great time."
"Punta Cana, Dominican Republic ",Snorkelling Tour,Excursion,Went on a snorkelling trip off around a reef.,4,Got to see a lot of cool wildlife and get close to the fish.
Mont Tremblant,Skiing,Excursion,Went skiing on the slopes of Mont Tremblant,5,An amazing day of skiing and enjoying nature. Had a lot of fun trying all the different hills and going through the forests. 
"Cosenza, Italy",ATV Riding,Excursion,Went ATV riding through the country side.,5,Amazing experience to go through the farms of Italy and enjoy the views. Really enjoyed riding the ATV.
"Split, Croatia",Kantun Paulina,Restaurant,Get a Cevapi sandwich with cevapi and ajvar,5,A simple and amazing sandwich with so much flavour and nice fresh bread.
"London, England",Camden Market ,Market,A market with a large numbers of shops and restaurants.,4,"The market was amazing with so much to see and go through, although the food was decently expensive and nothing too amazing. "
